gen_name,gen_cat,count,per_fake,gen_per,gender,dim,char_list
ms.,ms.,29,-3.780965,-3.780965,2,0,Ms. Universe | Ms. Mesmer | Ms. Wootenhoffer | Ms. Demeanor | Ms. Frey | X-Ms. | Ms. Mohawk | Ms. Finch | Ms. Hunter | Ms. Tartel | Ms. Karpediem | Ms. Epstein | Ms. Riley | Ms. Mulkowski | Ms. Monster From The Lost Lagoon | Ms. Puck-Man | Ms. Steed | Ms. Fortune | Ms. Cruikshank | Ms. Fischer | Ms. America | Ms. Sims | Ms. Blue | Ms. Thing | Ms. Kell | Ms. Megawatt | Ms. Andreyko | Ms. Johnson | Ms. Beachum
maid,maid,15,-1.955671,-1.955671,2,0,Little Mermaid | Moon Maiden | Ice Maiden | Primaid | Valda the Iron Maiden | Rubber Maid | Marvel Maid | Iron Maiden | Rubbermaid | Mermaid | Iron Maiden | Moon Maid | Dreaming Maiden | Iron Maiden | Barmaid
lass,lass,11,1.646091,-1.434159,2,1,Shadow Lass | Night Lass | Lightning Lass | Esper Lass | Life Lass | Prosthetic Lass | Infectious Lass | Micro Lass | Famine Lass | Superlass | Elongated Lass
doll,doll,9,-1.173403,-1.173403,2,1,Doll Girl | Death-Doll | Porcelain Doll | Doll Face | Dollhouse | China Doll | Paperdoll | Paperdoll | Doll
baroness,baroness,8,2.469136,-1.043025,2,0,Baroness Paula Von Gunther | Baroness Blitzkrieg | Baroness Von Goetz | Baroness Blood | Baroness Zemo | Baroness S'Bak | Baroness Rockler | Baroness Krieg
she-,she-,7,0.176367,-0.912647,2,0,She-Cat | She-Hawks | She-Ra | She-Hulk | Marada the She-Wolf | Ictus the She-Wolf | She-Man-Thing
countess,countess,6,1.410935,-0.782269,2,0,Countess Draska Nishki | Countess Varnoff De Mornay | Countess Mazuma | Countess Stephanie De La Spirosa | Countess Albiona | Countess
empress,empress,5,0.823045,-0.65189,2,0,Empress | Emerald Empress | Brood Empress | Empress R'Klll | Empress of the Ama
daughter,daughter,5,0.646678,-0.65189,2,1,"Joker's Daughter | Brainiac's Daughter | Sigrid,daughter of Hagbard | Astrild Storm-Daughter | Tiger's Beautiful Daughter"
duchess,duchess,3,0.823045,-0.391134,2,0,Duchess Victoria Boswick | Duchess | Duchess Belladonna
gal,gal,3,0.293945,-0.391134,2,1,SpyGal | Badgal | BadGal
mom,mom,2,0.411523,-0.260756,2,0,Mom | Kirstin's Mom
he-,she-,3,-0.912647,0.176367,1,0,He-Man | He-No | He-lix
guy,gal,5,-0.391134,0.293945,1,1,Rick The CIA Guy | The Innocent Guy | Strong Guy | Bad Guy | Bearboarguy
dad,mom,7,-0.260756,0.411523,1,0,Ding Dong Daddy | Dad | Doggie Daddy | Daddy Longlegs | Zebra Daddy | Daddy Wronglegs | Velocidad
senior,senior,9,0.529101,0.529101,1,0,Senior Waveman Kimura | Alexander Luthor Sr. | James Duffy Sr. | Rick Flag Sr | John Howlett Sr. | Joseph Danvers Sr. | J. Jonah Jameson
son,daughter,11,-0.65189,0.646678,1,1,Darkson | The Son Of The Feathered Serpent | Son of Vulcan | Son Of Saturn | Son of the Fallen | Ivar
duke,duchess,14,-0.391134,0.823045,1,0,Duke of Oil | Grand Duke Ivan Veston | Duke Walling | Duke of Deception | Duke Byron Boswick II | Duke Thomas | Duke Vepar | Duke Villagro | Duke Nukem | Duke Leto Atreides | Duke Stratosphere | Duke | Duke | Duke
emperor,empress,14,-0.65189,0.823045,1,0,Sun Emperor | Stone Emperor | Emperor Nero Fox | Emperor Varkan | Emperor Mephisto | Mad Emperor | Emperor Palpatine | Emperor None | Emperor Strabonus | Emperor Zark | Padishah Emperor Shaddam IV | Scorpius Emperor | Emperor Doombot | Emperor Edward Hammond
count,countess,24,-0.782269,1.410935,1,0,Count Drako | Count Vertigo | Count Azzo | Count Crystal | Count Karnak | Count Viras | Count Gravio | Count von Henzel | Count Berlin | Count Liib | Count Torgoff | Count Vichini | Count Sivana | Count Albert | Count Nefaria | Count Dooku | Count Duckula | Count Abyss | Count Tagar | Count Bornag Royale | Count Valenso | Count Hasimir Fenring | Count Kaoz | Count Griffon Walters
don ,don ,25,1.469724,1.469724,1,0,Don Townsend | Don Allen | Don Caballero | Don Hall | Don Morgan | Don Eagle | Don Fernando | Don Kerry | Don Drake | Don Rosseli | Don Vincenzo | Don Miguel | Don Roche di Plantageritti | Don Fernando Suarez | Don McGrath | Don Carlos | Don Hernandez Covina | Don Enrago | Big Don Drummont | Don Fortunato | Don Cervello | Don Vincenzo Pardo | Don of the Dead | Don Lamaze | Don O'Reilly
lad,lass,28,-1.434159,1.646091,1,1,Lightning Lad | Element Lad | Micro Lad | Matter-Eater Lad | Evolvo Lad | Phantom Lad | Ferro Lad | Magno Lad | Fire Lad | Antennae Lad | Astralad | Anti-Lad | Visi-Lad | Animal Lad | Size Lad | Superlad | Aqualad | Plaid Lad | Estimate Lad | Variable Lad | Psionic Lad | Power Lad | Fortress Lad | Larceny Lad | Iron Lad | Lobster Lad | Attractive Lad | Attractive Lad
sir,madam,29,-5.47588,1.704879,1,0,Big Sir | Sir Richard | Sir Real | Sir Roland | Sir Grot | Sir Edwin Kent | Sir Burlston | Sir Deeter | Sir Laser-Lot | Sir Oswald Bane | Sir Bodric Hamandala | Sir Fenton Carsley | Sir Crichton Davey | Sir Brian | Sir Percival Orifice | Sir Gordon Philips | Sir Ram | Sir Leopard | Sir Lyan | Sir Ossilot | Sir Marcus Grantby-Fox | Sir Delphis | Sir Raston | Sir Waltham Pierce | Sir Steel | Sir Benedict | Sire Ru | Sir Percy of Scandia | Sir Wulf
father,mother,29,-4.82399,1.704879,1,0,Father Daniel Leone | Highfather | Father Richard Craemer | Father Davis | Father Pierre | Father Nature | Father Tocsin | Father Martin Aquistapace | Father Lost | Grandfather | Father | Father Gunn | Father Arthur Keller | Father Michael Bowen | Father Michael Janes | Father Whitney | Father Delgado | Father Bordia | Father Ramon Joquez | Father Time | Father Thompson | Father Abbot | Father Vincent Adobe | Father Adam | Father | Father Spider | Father Diablo | Father Lantom | Father Jordan
brother,sister,35,-5.736636,2.057613,1,0,Lil' bro | Brother Blood | Brother Grimm | Brother Tan | Brother Power | Seven Deadly Brothers | Brother Zoo | Brother Rollo | Brother Drive | Brother Think | Hive Brother | Brother Hymn | Brother Night | Brother Paolo | Brother Shon | Brother Jonah | Little Brother | Brother Eyes | Brother Bete | Brothers Grimm | Brother Tode | Blood Brothers | Brother Royal | Brother Power | Brother Zed | Brother Brimstone | Brother Britman | Dog Brother #1 | Brother Nature | Bear Brother | Big Brother | Brother Mutant | Brother Inquisitor | Bruise Brother | Brother Lepain
prince,princess,35,-5.345502,2.057613,1,1,Prince Topaz | Prince Gavyn | Prince Willem | Prince Umbler | Fog Prince | Prince Moonstone | Prince Garnet | Prince | Prince Konshu | Pearly Prince | Prince Kraken | Prince Daka | Prince Peril | Prince Bayan | The Prince | Prince Dezan | Prince Wayfinder | Prince William | Prince Irham | Prince Shaitan | Prince Rey | Prince Rudolfo | Prince Gaynor The Damned | Prince of Orphans | Prince Thann of Yaralet | Prince Domenic | Prince Domenic | Prince Charming | Prince Baran | Prince Hassim | Prince Pharoid | Prince Tristan | Prince Tarn | Prince Lightstar | Prince Colwyn
baron,baroness,42,-1.043025,2.469136,1,0,Baron Winters | Baron Blitzkrieg | Baron Ruthven | Baron Bedlam | Baron Gravio | Black Baron | Bug Baron | Baron Gestapo | Baron Death | Baron Tyrano | Baron Agua Sin Gaaz | Baron Ghazz | Baron Tyme | Baron Sunday | Baron Von Goetz | Baron von Huldorf | Baron Pakloff | Baron Gottfried Von Gunther | Baron Wilford | Robber Baron | Baron Von Nastraed | Baron Mordo | Baron Helmut Zemo | Baron Heinrich Zemo | Baron von Strucker | Baron Zebek | Baron Blood (Crichton) | Dread Baron | Baron Blood (Falsworth) | Baron Sabbat | Baron Macabre | Baron Gregor Russoff | Baron Rockler | Baron Von Blitzschlag | Baron Harkonnen | Baron Brimstone | Baron Gregory Russoff | Baron Grigori Russoff | Black Baron | Baron Skullfire | Baron Dark | Baron Hugo
junior,junior,49,2.880658,2.880658,1,1,"Batman Junior | Junior Wolf | Junior | Junior Santos | Junior Musto | Bizarro Junior No. 1 | Sylvester Pussycat Junior | Superman Junior | William Dooley Junior | Junior | Junior Diaz | Junior Juniper | Microchip Junior | Brainwave Jr. | Richard Grey Jr. | Sam Bradley Jr | Roy Raymond Jr. | Thaddeus Sivana Jr. | Alan von Neumann Jr. | James Gordon Jr. | Thomas Blake, Jr. | Will Everett Jr. | Frank Baker, Jr. | Roger Jr. | James Duffy Jr. | Lucius Fox Jr. | Joe Chill, Jr. | Frankenstein, Jr. | Egghead Jr. | Perry White Jr | Jerry Debitt, Jr. | George Taylor Jr. | J. Jeremiah Jackal, Jr. | James Bond Jr | Tito Bohusk, Jr. | Warren Worthington Jr. | Joseph Danvers Jr. | Hulk Jr. | Francis Castle Jr. | Matt Slade Jr. | Henry Pym Jr | William Evans, Jr. | Nick Fury Jr. | Terrence Haller Jr. | Daniel Grimm Jr. | Roger Bochs Jr. | Arácnido Jr. | Albert Moon, Jr. | Richard Harmon, Jr."
boy,girl,87,-12.646675,5.114638,1,1,Sun Boy | Cosmic Boy | Ultra Boy | Colossal Boy | Superboy | Beast Boy | Chameleon Boy | Lagoon Boy | Polar Boy | Stone Boy | Bizarro Superboy | Bouncing Boy | Farmer Boy | The Cowboy | Duplicate Boy | Mighty Boy | Powerboy | Wonder Boy | Dead Pretty Boy | Beast Boy | Power Boy | Dynamo-Boy | Dream Boy | Golden Boy | Storm Boy | Fruit Boy | Energy Boy | All-American Boy | Arm-Fall-Off Boy | Big Atomic Lantern Boy | Solar Boy | Doomsboy | Blackout Boy | Blockade Boy | Little Boy Blue | Jungle Boy | Tex the Cowboy | Slim the Cowboy | Bradley Boys | The Invisible Ape Boy | The Boy | Sea-Boy | Boy Blue | Goldenboy | Mer-Boy | Bird-Boy | Ratboy | Jocko-Boy Vanzetti | Barber Boy | Hawkboy | Power Boy | Plague Boy | Goatboy | Birthday Boy | Toyboy | Dino Boy | Bowboy | Cowboy | Laughing Boy | Goat Boy | Leather Boy | Boy | Squid-Boy | Moon Boy | Mysterious Fanboy | Cowboy | Joyboy | Golden Boy | Pretty Boy | Jetboy | Iceboy | Jungle Boy | Rain Boy | Rex the Dog-Faced Boy | Boyo | Le Cowboy | Slaughter Boy | Bumbleboy | Iron Boy | Eye Boy | Toad Boy | Spider-Boy (Simmons) | Baby Boy | Elastic Boy | Angel Boy | Worm-Boy | Amazing Fantasy Boy
master,master,118,6.937096,6.937096,1,0,Ocean Master | Mirror Master (McCulloch) | Bushmaster | Cluemaster | Quakemaster | Judomaster | Master Jansen | Master Haim | Mastermind | Nightmaster | Overmaster | Matter Master | Atom-Master | Thief-Master Of Ramox | The Master | Chain Master | Toymaster | Mist Master | Master Jailer | Sportsmaster | The Ringmaster | The Zodiac Master | Master Hand | Jest-Master | Insect Master | Molecular Master | Gyro-Master | Planet Master | Weapons Master | The Armless Master | Time Master | Iron Master | Master Task | Bellmaster | Mirror Master (Scudder) | Master Shoju | Nightmaster | Gamesmaster | Master of Doom | Master Mayhem | Headmaster | Master Gunfighter | The Master Gardener | Grandmaster | Master Hamma | The Master of Nanda Parbat | Master Fung | Master Hong | Master Motley | Snake Master | Flame-Master | Bushmaster | Master De Stroyer | Fireworks Master | Mind Master | Mineral Master | Blade Master | Toymaster | Power Master | Puppet Master | Ringmaster | Taskmaster | Master Programmer | Master Pandemonium | Mastermind | Spymaster | Master Fazil | Soft Master | Blind Master | Master Khan | Master Key | Lightmaster | Metal Master | Gamesmaster | Master Of Vengeance | Masterblaster | Master Builder | Beastmaster | Quartermaster | Master Link | Master of the World | Master Hate | Slaymaster | Bushmaster | Monster Master | Crime-Master (Lewis) | Grandmaster | Techmaster | Stunt-Master | Mutant-Master | Icemaster | Mind Master | Master Zhao | Mastermind Excello | Master Sniper | Master Po | Master Izo | Death Master | Master Judge of the Lower Depths | Master Ecallaw | Thought Master | Past Master | Master Heku | Master Meld | Fearmaster | Fleet Master Rtas 'Vadum | Master Wilson | Crime-Master (Brant) | Crime-Master (Lewis Jr.) | Freakmaster | Dominas The Wavemaster | Mastermind (Clone) | Leafmaster | Zombie Master | Master of the Sun | Master Weaver | Mastermind | Aoi Master
lord,lady,122,-13.298566,7.172252,1,0,Lord Blaze | Lightning Lord | Rudy The Landlord | Aqualord | Lord Chaos | Thunderlord | Maxwell Lord | Lord Rrall | Lord Heraphon | Lord Finvarra | Lord Nemo | Lord Satanus | Lord Danvers | Lord Lawrence Hill | Lord Volt | Lord Satanis | Lord Claw | Overlord | Lord Sliderule | Lord Ewald Olafsdotter | Lord Galeb | Lord Dynamo | Lord Havok | Lord Scapegoat | Lord Shilling | Lord Coldrake | Lord L | Lord Conquest | Lord Aquamarine | Lord Sardonyx | Polar Lord | Lord Meh | Lord Amethyst | Lord Topaz | Lord Garnet | Lord Moonstone | Lord Ruby | Lord Diamond | Lord Emerald | Cyrus Lord | Lord Ronson | Lava Lord | Lord Ragnar | Lord Gadfrey | Lord Battle | Lord Daggor | Lord Reishan | Lord Firojha | The Lord of Nothing | Lord Adi | Lord Ffogg | Lord Donelin | Lord Eton | Lord Atherton | Lord Ashley | Biolord | Lord Vimana | Firelord | Lord Hawk | Star-Lord | Lord Nosferatu | Lord Of The Living Lightning | Lord Gator | Lord Shingen | Lord Of The Plants | Lord High Justicer | Lord Dark Wind | Lord Karnaj | Lord Templar | Lord Samedar | Lord Anon | Lord Tyger | Lord Churchill | Lord Tantalus | Lord Armageddon | Lord Rask | Lord Arno | Lord Zano | Lord I | Lord Aahmes | Lord Tuthmes | Conquer-Lord | Lord Of Dark Valley | Warlord | Dragon-Lord | Lord of Death | Overlord | Earth-Lord | Lord Majister | Crimelord | Lord Votan | Lord of Light | Lord of Light | Lord Gaea | Shadow Lord | Lord Moses | Lord Molyneux | Lord Zedd | Lord Byson | Lord Thane | Lord Montgomery Falsworth | Lord Maur-Kon | Lord Kodo | Lord Deathstrike | Lord Ultravision | Lord Defender | Ivan the Landlord | Psi-Lord | Lord Gouzar | Lordsire Droom | Lord Phyffe | Lord Ogre | Lord Elder Kalahia | Lord Robert Plunder | Lord Demonpimp | Lord Kharga | Lord Edwin Dering | Lord Remaker | Lord High Vittio | Lord Robert Greville | Alfred Lord Tennyson | Lord High Librarian
king,queen,146,-12.516297,8.583186,1,0,"Cosmic King | Suicide King | Spirit King | Clock King | Lizard King | Condiment King | King Snake | King Thar | King Hiss | King Shark | King | Dragon King | Chemical King | King Of Tears | King Iqula | King Thesily | King Randor | Jungle King | Chris King | King Faraday | King Kull | Water King | King Peeble IV | Chess King | King Savage | King Venuka | King Eric | King Tawaba | King Krypton | King Neptune | King Rikk | King Harold | Red King | King Olafsdotter | King Grayskull | King Brpxz | Kung King | Forever King | King Kraken | Sun King | King Tut | King Kandy | Calamity King | The King | King Harald | King Billy | King Chimera | King Crusher | Creature King | Old King Coal | King Samson | Accordian King | King Bullet | King Zolto | King Kosmos | Getaway King | King Bee | Clock King (Tem) | King of the Missle Men | Joker King | King Firtf | Puppet King | King Shadow | King Marov | The Dead King | Sea King | King of Cats | King of Limbs | King Fish | King Trevis | King Stearn | King Yascom | The King | Kingbat | King Zabot | Quiz King | Teddy Bear King | Planet King | King Ryus | Cryo-King | King Og | King Trench | King Blotto | King Ironsides | King Ersatz | King Diamond | King Miro | King Condor | Fisher King | Ice King | King P’Thrall | King Ekeko | Kingpin | Dragon King | Black King | King Britain | King Cobra | Hannibal King | Red King | Shadow King | Grey King | King Bedlam | Grottu King Of The Insects | Rorgg King of the Spider-Men | King Lau | Agnar,King of the Eagles | King Nestor | Sewer King | King Maddoc II | King Sumuabi | King Aosoka | Vampire King | Beast King | King Cadaver | King Kamuu | King Krono | King Arrkam | Rat King | Kingmaker | King Ytitnedion | Suicide King | King Size | King Akhîrom | Red King | King Primus | Kingo Sunen | King Cycle | The Crimson King | King Hyperion | Pegas the Pirate King | King Coal | Jareth the Goblin King | King Gerark | Toad King | King Michael | King Gha-Kree | Erlking | King-Cake Killer | King Korozon | Kingmaker | King Ku | Ice King | Monkey King | Locust King | Ozarks Kingpin | #$%& King"
