gen_name,gen_cat,count,per_fake,gen_per,gender,dim,char_list
lady,lady,102,7.172252,-13.298566,2,0,"Lady Blackhawk | Lady Shiva | Lady Vic | Lady Eve | Phantom Lady | Lady Luna | Ladytron | Lady Blaze | Lady Liberty | Gray Lady | Lady Flash | Lady Tawna | Lady Jamma | Lady Clayface | Lady Quark | Lady Lunar | Lady Chian | Lady Merria | Sable Lady | Lady Luck | Spider Lady | Lady Celia | Lady Sonar | Lady Viper | Lady Styx | Lady Memory | Lady Spellbinder | Lady Frankenstein | Lady Chronos | Lady Turquoise | Hamburger Lady | Lady Liberty | Lady Cop | Ladybug | Lady Zand | Lady Amethyst | Lady Sapphire | Lady Moonstone | Lady Aquamarine | Lady Sardonyx | Dagger Lady | Lady Danger | Lady Laminate | Lady Bluuz | Lady Mordiel | Twilight Lady | Phantom Lady | Lady Senshe | Lady Marabunta | Lady Tiger Fist | Lady Weeds | Lady Pelikaia | Ladybug | Lady Sutherland | Lady Ayleen Valiante | Snake Lady | Lady Ashley | Wart Lady | Iron Lady | Granite Lady | Djinn,Lady of the Lightning | Lady Kala | Lady Deathstrike | Ladyhawk | Lady Burning Fish | Lady Mastermind | Lady Lark | Lady Ursula | Lady Octopus | Lady Luck | Lady Vermin | Kidney Lady | Lady London | Cousin Betsy The Plant Lady | Lady Janice | Lady Tuvia | Lady Rosamund | Lady Daemon | Asbestos Lady | Lady Grey | Pink Lady | Lady Bullseye | Lady Trident | Lady Yune | Lady Jane | Lady of Ten Suns | Lady Jessica | Lady Tenelle | Lady Deadpool | Lady Stilt-Man | Lady Fynn-Geres | Lady Gorgon | Lady Shadra | Lady Sif (Cho-Foster) | Lady Lark (Cadaver) | Lady Allana | Lady Alophic | Lady Waziria | Lady Mary Dering | Lady Spider | Lady Caterpillar | Lady Hellbender"
mrs.,mrs.,98,19.282775,-12.777053,2,0,Mrs. Abernathy | Mrs. Cloud | Mrs. Washington | Mrs. Cricket | Mrs. Avilia | Mrs. Peabody | Mrs. Tusky The Walrus | Mrs. Eisenmann | Mrs. Lefferts | Mrs. Sebastian | Mrs. Peterson | Mrs. Carling | Mrs. Corey | Mrs. Goldstein | Mrs. Vorpal | Mrs. Quinch | Mrs. Millbrook | Mrs. Marigold | Mrs. Anders | Mrs. Magruder | Mrs. Higgins | Mrs. Olsen | Mrs. Ophelia Templeton | Mrs. Culver | Mrs. Nagle | Mrs. Craig | Mrs. Red Ryan | Mrs. Rocky Davis | Mrs. Haley | Mrs. Blanding | Mrs. Cranston | Mrs. Puptent | Mrs. Green | Mrs. Lang | Mrs. Levy | Mrs. Lavalle | Mrs. Franklin | Mrs. Prescott | Mrs. Weidemeir | Mrs. Terrific | Mrs. Hyde | Mrs. Forthwright | Mrs. Trapp | Mrs. Nyxly | Mrs. Chilton | Mrs. Garrick | Mrs. Talbot | Mrs. Carlyle | Mrs. Whitney | Mrs. Gotrox | Mrs. Gotlotz | Mrs. Steel | Mrs. Gottbucks | Mrs. Harrison | Mrs. Warren | Mrs. Martineau | Mrs. Jones | Mrs. Claus | Mrs. Chen | Mrs. Domaine | Mrs. Takahara | Mrs. Burkiss | Mrs. Stewart | Mrs. McMonster | Mrs. Epstein | Mrs. Pearse | Mrs. Cassada | Mrs. Muggins | Mrs. Rhodes | Mrs. Jonathan Ridge | Mrs. Jenks | Mrs. Page | Mrs. Pringle | Mrs. Lee | Mrs. Wyncham | Mrs. Stevenson | Mrs. Gwynn | Mrs. Tickle | Mrs. Borkowski | Mrs. Williams | Mrs. Cohuelo | Mrs. Abbott | Mrs. Macik | Mrs. Abidemi | Mrs. Sabahnur | Mrs. Rottwell | Mrs. Livitz | Mrs. Miller | Mrs. Aldine | Mrs. Camacho | Mrs. Junko | Mrs. Jarvis | Mrs. Gallows | Mrs. Dean | Mrs. Feedle | Mrs. Schaefer | Mrs. Harmon | Mrs. Hoskins
girl,girl,97,5.114638,-12.646675,2,1,"Dream Girl | Phantom Girl | Duplicate Girl | Saturn Girl | Bulletgirl | Supergirl | Elasti-Girl | Stargirl | Power Girl | Sensor Girl | Hawkgirl | Implicate Girl | Titangirl | Cyborgirl | Wonder Girl | Bizarro Supergirl | Merry the Gimmick Girl | Spider-Girl | Night Girl | Prairie Girl | Monstergirl | Satan Girl | Gold Girl | Mercury Girl | Lead Girl | Gas Girl | Gem Girl | Sungirl | Element Girl | Bizarro-Hawkgirl | Chameleon Girl | Rainbow Girl | Amp Girl | Snake Girl | Overgirl | Astra,Girl of the Future | Satanna the Tiger Girl | The Girl Of Glass | Gravity Girl | Catgirl | Catholic Girl | Gill Girl | Alchemical Girl | Lizard Girl | Pom Pom Girl | Birthday Girl | Buena Girl | Lava Girl | Billy the Girl | Iron Girl | Strong Girl | Sax Girl | Tiger Girl | Animal Girl | Dirty Girl | Gotham Girl | Schoolgirl | Squirrel Girl | Spider-Girl (Parker) | Ghost Girl | Ghost Girl | Dead Girl | Thor Girl | U-Go Girl | Liberty Girl | Decay Girl | Leopard Girl | Golden Girl | Sun Girl | Spider-Girl (Corazón) | Ultragirl | No-Girl | Sherry the Showgirl | Spacegirl | Cowgirl | Gorilla Girl | Glamour Girl | Glamour Girl | Arizona Girl | Icegirl | Po the Ghost Girl | Swiney-Girl | Fly-Girl | Gossip Girl | Invisible Girl Android | Goat-Faced Girl | Shark-Girl | Sun Girl | Identity Girl | Buzzsaw Girl | Derings' Servant Girl | Nature Girl | Colander Girl | Cover Girl | Moon Girl | Ready Girl | Glass Girl"
queen,queen,96,8.583186,-12.516297,2,0,"Saturn Queen | Queen Mab | Queen Bee | Queen Of Fables | Queen Marlena | Queen | Queen Tareesha | Queen Sona | Queen Of Hy-Brasil | The White Queen | Queen Of Hearts | Calorie Queen | Insect Queen | Mary,Queen of Blood | Queen Errant | Queen Latora | Queen Clea | Comet Queen | Quantum Queen | Queen Olafsdotter | Speed Queen | Queen Aga'po | Queen Azura | Aqua-Queen | Mermaid Queen | Queen Atomia | Queen Desira | Fairy Queen | Scream Queen | Moira Queen | Queen Shrike | Queen Artemis | Prom Queen | Queen Bee | Questing Queen | Giant Robot Queen | Queen Graciel | H.I.V.E. Queen | Queen Veena | Olga,Queen of the Cossacks | Queen Miraset | Queen Eidijamon | Sheba,Queen of the Desert | Queen Leila | Queen Solala | Queen Aclippe | Queen Tut | Queen Eeras | Queen Brilliance | Queen Trench | Queen Celerita | Queen Supreema | Queen Moonbeam | Queen Astra | Queen Shahrazad | Queen Knorda | Queen Isadona | Queen Bryn | Queen Hilda | Queen Repugna | Queen Divine Justice | Shadowqueen | Brood Queen | Snow Queen | Queen Mother Maraud | Red Queen | Queen Ula | Elfqueen | Queen Tananda | Queen Zartra | Queen Melissandra | Queen Kalthea | Queen | Leper Queen | Dreamqueen | Snow Queen | Fury The Goblin Queen | Queen Cat | Red Queen | Queen Korra | Queen Mother | Witch Queen | Queen Bavmorda | Ice Queen | Acid Queen | Queen Tolaria | Killer Queen | Queen Erin | Queen Gedren | Queen Hydra | Painqueen | Queen Okusana | Queen Fria | Queen Froja | Never Queen | Queen of Angels"
miss,miss,53,-6.910039,-6.910039,2,1,Miss Colby | Miss Arrowette | Miss Gsptlsnz | Miss Bovine | Miss Brackish | Miss Liberty | Miss America | Miss Downing | Miss Wentworth | Miss Grant | Miss Martian | Mammoth Miss | Miss Miracle | Miss Bloss | Miss Army Knife | Miss Helen | Miss Stellamaris | Little Miss Hollywood | Little Miss Redhead | Miss Poltergeist | Miss Tiphani | Miss Thorn | Miss Hexley | Miss Hart | Miss Bannon | Miss Whatley | Miss Evarts | Miss X | Miss Page | Miss Mash | Miss Anarky | Miss Pesta | Miss Gold | Miss Dreamface | Miss DeLaSalle | Miss Patriot | Miss America | Miss Locke | Miss Mass | Miss Itch | Miss Saccharine | Miss Ferguson | Miss Sinister | Miss Banner | Miss Glitter | Miss Hotchkiss | Miss Corbo | Miss Tanaka | Miss King | Miss Drugstore | Miss Coriander | Miss Kay | Miss Parker
sister,sister,44,2.057613,-5.736636,2,0,Sister Voice | Sister Superior | Sister Six | Sister Eighteen | Sister Camille | Sister Shadow | Sister Sentry | Sister Sercy | Sister Crystal | Sister Marks | Elbe Sister | Rhine Sister | Moon Sister | Tigris Sister | Sister Mary Rose | Sister Miracle | Sister Justine | Sister Clara | Sister Sade | Sister Soul | Sister Mary Catherine | Sister Blood | Sister Rosemary | Sister Maggie Murdock | Sister Dream | Sister Salvation | Sister Maria De La Joya | Sister Nil | Sister Gaia | Sister Marclark | Sister Pleasure | Sister Angelique | Sister Cynthia | Switchblade Sisters | Sister Nicholas | Sister Death | Sister Agony | Sister Death | Sister Agony | High Sister | Sister Jenna | Sister Mary | Sister Voodoo | Sister Pale Horse
woman,woman,44,30.922986,-5.736636,2,0,Catwoman | Wonder Woman | Superwoman | Hawkwoman | Batwoman | Tomorrow Woman | Serpent Woman | Multi-Woman | Owl Woman | Elemental Woman | Amazing Woman | Element Woman | Weeping Woman | Horsewoman | Batwoman | Aquawoman | Forever Woman | Wonder Woman 1000000 | Wanda Woman | Tiger Woman | War-Woman | Wonder Woman (earth-D) | Aquawoman | Wonder-Woman | Ghost Woman | Spider-Woman | Invisible Woman | Impossible Woman | Old Woman | Warrior Woman | Lilutu The Werewoman | Witch Woman | Spider-Woman (Veranke) | Golden Woman | Miraclewoman | Iron Woman | Dogwoman | Psycho-Woman | The Weird Woman | Fisticuff-Woman | Swordswoman | Marvel Woman | Sandwoman | Rabbit Woman
madam,madam,42,1.704879,-5.47588,2,0,Madame Xanadu | Madam Olga | Madame Waxahachie | Madame .44 | Madame Rouge | Madame Benita | Madame Van Jung | Madame Zodiac | Madame Sun | Madame Evil Eyes | Madame Zaddum | Madame Libertine | Madame Nature | Madam Yoko | Madame Macabre | Madame Razz | Madame .44 | Madam Kovar | Madame Crow | Madame Hydra | Madame Yang Kwei Fei | Madame Web | Madame Masque | Madame Qwa | Madame Slay | Madame Mauser | Madam Rapier | Madame Reneau | Madame Olga | Madame X'arthalla | Madam Macabre | Madam Drache | Madame Death | Madame Ojani | Madame Fang | Madame Modoc | Madame Hydra Six | Madame Synn | Madame Jasmine | Madame Fogwa | Madame Worm | Madame Vegan
princess,princess,41,2.057613,-5.345502,2,1,Princess Kalif | Princess Evalina | Princess Asa | Princess Tara | Princess Topaz | Princess Emerald | Princess Emerald | Princess Alba | Princess Sarum | Princess Ingvie | Daddy's Little Princess | Princess Ramia | Princess Dana | Princess Goleeta | Princess Yasmini | Princess Ptra | Princess Octavia | Princess Althea | Princess Shao-La | Princess Akiuki Orugawa | Power Princess | Princess Ugly | Princess Kneesaa | Princess Python | Princess Teela | Princess Pearla | Princess Nepthys | Princess Fen | Princess Azir | Princess Leia | Princess Zanda | Princess Yolinda | Princess Rinda | Princess Chabela | Ice Princess | Princess of Clouds | Princess Irulan | Princess Sorsha | Power Princess (Cadaver) | Princess Lynx | Princess
mother,mother,37,1.704879,-4.82399,2,0,Mother Tierra | Mother of Champions | Mother One | Mother Herrae | Mother Zed | Blessed Mother of Clan MacDougal | Mother Mayhem | Mother Machine | The Mother | Mother Mae-Eye | Mother Skorpa | Mother Eve | Mother Mayhem (Resik) | Mother Russia | Mother Anubis | Mother | Rage Mother | Mother Grimm | Mother Herd | Reverend Mother Cetea | Mother Panic | Dark Mother | Mother Night | Mother Inferior | Mother of Pearl | Crane Mother | Mighty Mother | Big Mother | Reverend Mother Gaius Helen Mohiam | Mother Superior | Mother | Mother Abagail | Mother | Mother Matrix | Mother Bones | Mother Pran | Mother Monster
